id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34136594,2705390,608,0.001,"","","","","","",""
34136554,2705390,255,90.8,"","","","","","",""
34136602,2705390,618,0.005,"","","","","","",""
34136572,2705390,323,0,"","","","","","",""
34136612,2705390,645,0.017,"","","","","","",""
34136603,2705390,619,0,"","","","","","",""
34136609,2705390,629,0,"","","","","","",""
34136562,2705390,305,107,"","","","","","",""
34136583,2705390,418,0.58,"","","","","","",""
34136555,2705390,262,0,"","","","","","",""
34136595,2705390,609,0.001,"","","","","","",""
34136586,2705390,431,0,"","","","","","",""
34136580,2705390,406,0.118,"","","","","","",""
34136566,2705390,312,0.002,"","","","","","",""
34136608,2705390,628,0,"","","","","","",""
34136579,2705390,405,0.131,"","","","","","",""
34136606,2705390,626,0.001,"","","","","","",""
34136558,2705390,291,0,"","","","","","",""
34136587,2705390,432,2,"","","","","","",""
34136556,2705390,263,0,"","","","","","",""
34136565,2705390,309,0.45,"","","","","","",""
34136605,2705390,621,0,"","","","","","",""
34136549,2705390,203,3.43,"","","","","","",""
34136550,2705390,204,0.08,"","","","","","",""
34136573,2705390,328,1.1,"","","","","","",""
34136599,2705390,613,0.021,"","","","","","",""
34136553,2705390,221,0,"","","","","","",""
34136557,2705390,269,5.05,"","","","","","",""
34136568,2705390,319,64,"","","","","","",""
34136676,2705391,631,0.001,"","","","","","",""
34136663,2705391,612,0.181,"","","","","","",""
34136677,2705391,645,0.4,"","","","","","",""
34136675,2705391,630,0,"","","","","","",""
34136664,2705391,613,0.512,"","","","","","",""
34136669,2705391,620,0.003,"","","","","","",""
34136678,2705391,646,0.058,"","","","","","",""
34136674,2705391,629,0,"","","","","","",""
34136661,2705391,610,0.049,"","","","","","",""
34136673,2705391,628,0.002,"","","","","","",""
34136667,2705391,618,0.061,"","","","","","",""
34136659,2705391,608,0.032,"","","","","","",""
34136660,2705391,609,0.021,"","","","","","",""
34136671,2705391,626,0.029,"","","","","","",""
34136672,2705391,627,0,"","","","","","",""
34136670,2705391,621,0,"","","","","","",""
34136662,2705391,611,0.058,"","","","","","",""
34136668,2705391,619,0.007,"","","","","","",""
34136666,2705391,617,0.41,"","","","","","",""
34136665,2705391,614,0.184,"","","","","","",""
34136623,2705391,291,0,"","","","","","",""
34136649,2705391,421,18.2,"","","","","","",""
34136635,2705391,321,3,"","","","","","",""
34136627,2705391,305,103,"","","","","","",""
34136614,2705391,203,3.36,"","","","","","",""
34136644,2705391,405,0.137,"","","","","","",""
34136656,2705391,601,8,"","","","","","",""
34136648,2705391,418,0.55,"","","","","","",""
34136640,2705391,337,0,"","","","","","",""
34136636,2705391,322,0,"","","","","","",""
34136634,2705391,320,83,"","","","","","",""
34136624,2705391,301,126,"","","","","","",""
34136654,2705391,573,0,"","","","","","",""
34136629,2705391,307,39,"","","","","","",""
34136650,2705391,430,0.2,"","","","","","",""
34136651,2705391,431,0,"","","","","","",""
34136621,2705391,263,0,"","","","","","",""
34136638,2705391,328,1.1,"","","","","","",""
34136628,2705391,306,159,"","","","","","",""
34136622,2705391,269,4.89,"","","","","","",""
34136632,2705391,317,1.8,"","","","","","",""
34136633,2705391,319,83,"","","","","","",""
34136619,2705391,255,89.1,"","","","","","",""
34136631,2705391,312,0.001,"","","","","","",""
34136618,2705391,221,0,"","","","","","",""
34136615,2705391,204,1.9,"","","","","","",""
34136630,2705391,309,0.43,"","","","","","",""
34136653,2705391,435,2,"","","","","","",""
34136658,2705391,607,0.041,"","","","","","",""
34136645,2705391,406,0.112,"","","","","","",""
34136620,2705391,262,0,"","","","","","",""
34136637,2705391,323,0.03,"","","","","","",""
34136625,2705391,303,0,"","","","","","",""
34136639,2705391,334,0,"","","","","","",""
34136626,2705391,304,12,"","","","","","",""
34136643,2705391,404,0.059,"","","","","","",""
34136647,2705391,417,2,"","","","","","",""
34136617,2705391,208,50,"","","","","","",""
34136657,2705391,606,1.11,"","","","","","",""
34136641,2705391,338,0,"","","","","","",""
34136652,2705391,432,2,"","","","","","",""
34136655,2705391,578,0,"","","","","","",""
34136646,2705391,415,0.061,"","","","","","",""
34136616,2705391,205,4.9,"","","","","","",""
34136642,2705391,401,0.2,"","","","","","",""
34136735,2705392,621,0,"","","","","","",""
34136691,2705392,304,12,"","","","","","",""
34136724,2705392,608,0.054,"","","","","","",""
34136732,2705392,618,0.115,"","","","","","",""
